Code,Title,Code,Rating,Rating Count
tt0106028,Homicide: Life on the Street,tt0106028,8.5,"12,801"
tt0475784,Westworld,tt0475784,8.5,"495,891"
tt0417373,The Venture Bros.,tt0417373,8.5,"25,936"
tt13111040,The Offer,tt13111040,8.5,"19,909"
tt0403778,Long Way Round,tt0403778,8.5,"14,144"
tt9544034,The Family Man,tt9544034,8.5,"85,436"
tt7908628,What We Do in the Shadows,tt7908628,8.5,"73,130"
tt4063800,The Bureau,tt4063800,8.5,"11,566"
tt0487831,The IT Crowd,tt0487831,8.5,"150,837"
tt0290978,The Office,tt0290978,8.5,"112,113"
tt0423731,Samurai Champloo,tt0423731,8.5,"48,219"
tt7562112,Pose,tt7562112,8.5,"28,924"
tt1492966,Louie,tt1492966,8.5,"78,772"
tt4158110,Mr. Robot,tt4158110,8.5,"382,334"
tt0129690,I'm Alan Partridge,tt0129690,8.5,"20,580"
tt0086831,"Yes, Prime Minister",tt0086831,8.5,"11,537"
tt6108262,Black Sun,tt6108262,8.5,"11,430"
tt0163507,Whose Line Is It Anyway?,tt0163507,8.5,"43,566"
tt1513168,Through the Wormhole,tt1513168,8.5,"17,787"
tt4647692,Letterkenny,tt4647692,8.5,"22,600"
tt1586680,Shameless,tt1586680,8.5,"238,306"
tt1442449,Spartacus,tt1442449,8.5,"240,476"
tt7221388,Cobra Kai,tt7221388,8.5,"169,544"
tt0278238,Samurai Jack,tt0278238,8.5,"53,139"
tt12343534,Jujutsu Kaisen,tt12343534,8.5,"55,917"
tt0421357,Fullmetal Alchemist,tt0421357,8.5,"70,353"
tt5288312,Skam,tt5288312,8.5,"33,959"
tt1124373,Sons of Anarchy,tt1124373,8.5,"293,783"
tt0417349,North &amp; South,tt0417349,8.5,"32,602"
tt0118273,Brass Eye,tt0118273,8.5,"10,786"
tt1758429,Spartacus: Gods of the Arena,tt1758429,8.5,"136,976"
tt0112159,Neon Genesis Evangelion,tt0112159,8.5,"68,039"
tt2575988,Silicon Valley,tt2575988,8.5,"147,867"
tt1534360,Ezel,tt1534360,8.5,"32,558"
tt0290988,Trailer Park Boys,tt0290988,8.5,"43,450"
tt0436992,Doctor Who,tt0436992,8.5,"221,951"
tt0120570,From the Earth to the Moon,tt0120570,8.5,"12,263"
tt2701582,Endeavour,tt2701582,8.5,"26,011"
tt4082744,Detectorists,tt4082744,8.5,"14,424"
tt0149460,Futurama,tt0149460,8.5,"235,156"
tt0203082,Rurouni Kenshin: Trust and Betrayal,tt0203082,8.5,"14,798"
tt4093826,Twin Peaks,tt4093826,8.5,"67,013"
tt5897304,Mob Psycho 100,tt5897304,8.5,"29,625"
tt2243973,Hannibal,tt2243973,8.5,"252,689"
tt1439629,Community,tt1439629,8.4,"260,118"
tt4269716,Umbre,tt4269716,8.4,"10,159"
tt3230854,The Expanse,tt3230854,8.4,"150,937"
tt3526078,Schitt's Creek,tt3526078,8.4,"117,857"
tt4295140,Chef's Table,tt4295140,8.4,"15,501"
tt0995832,Generation Kill,tt0995832,8.4,"53,490"
tt2401256,The Night Of,tt2401256,8.4,"148,696"
tt1230180,The Angry Video Game Nerd,tt1230180,8.4,"15,152"
tt0047708,Alfred Hitchcock Presents,tt0047708,8.4,"17,295"
tt7472896,Mr Inbetween,tt7472896,8.4,"17,500"
tt1710308,Regular Show,tt1710308,8.4,"43,968"
tt13706018,SPY×FAMILY,tt13706018,8.4,"18,602"
tt3920596,Big Little Lies,tt3920596,8.4,"194,865"
tt2937900,The Knick,tt2937900,8.4,"48,531"
tt7278862,My Brilliant Friend,tt7278862,8.4,"14,834"
tt3895150,Your Lie in April,tt3895150,8.4,"28,670"
tt2433738,Wentworth,tt2433738,8.4,"22,241"
tt0472027,John Adams,tt0472027,8.4,"33,064"
tt0262150,Black Books,tt0262150,8.4,"58,687"
tt0103584,X-Men: The Animated Series,tt0103584,8.4,"43,101"
tt5675620,The Punisher,tt5675620,8.4,"230,107"
tt6958022,The Defiant Ones,tt6958022,8.4,"14,645"
tt1299368,Southland,tt1299368,8.4,"26,638"
tt6111552,Content Cop,tt6111552,8.4,"12,603"
tt0421291,Avrupa Yakasi,tt0421291,8.4,"18,731"
tt10155688,Mare of Easttown,tt10155688,8.4,"150,273"
tt0397150,Garth Marenghi's Darkplace,tt0397150,8.4,"18,379"
tt5249462,Erased,tt5249462,8.4,"45,791"
tt0988818,Gintama,tt0988818,8.4,"11,231"
tt1298820,Clannad: After Story,tt1298820,8.4,"11,243"
tt7259746,Queer Eye,tt7259746,8.4,"18,882"
tt0043208,I Love Lucy,tt0043208,8.4,"26,629"
